Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,83.309914,83.622169,81.623734,81.935989,81.312645,12415804
2021-05-05,82.185791,82.997658,81.748634,82.498047,81.870430,8913246
2021-05-06,82.560501,83.122559,81.373924,82.498047,81.870430,10052199
2021-05-07,82.185791,83.309914,81.623734,83.060112,82.428215,8627647
2021-05-10,83.122559,84.808746,83.060112,83.372368,82.738083,10498115
2021-05-11,82.373146,82.997658,80.811867,81.748634,81.126709,10890454
2021-05-12,81.686180,81.998436,79.750198,80.062454,79.453362,11344808
2021-05-13,79.937546,81.436378,79.437943,80.999222,80.382996,10501446
2021-05-14,81.935989,83.060112,81.373924,82.810303,82.180305,8114719
2021-05-17,82.622948,83.309914,81.935989,82.123344,81.498566,12223606
2021-05-18,82.310692,82.872757,80.999222,80.999222,80.382996,7834324
2021-05-19,80.562057,81.811089,79.875099,81.748634,81.126709,9514019
2021-05-20,81.748634,81.873535,80.686966,81.561279,80.940781,7441761
2021-05-21,81.873535,82.935204,81.498833,82.622948,81.994370,8537881
2021-05-24,82.997658,83.122559,81.935989,82.310692,81.684502,6246925
2021-05-25,82.435600,82.997658,81.811089,81.935989,81.312645,7578668
2021-05-26,81.935989,83.871979,81.436378,83.684624,83.047981,9650686
2021-05-27,84.933647,89.929741,84.871193,89.617485,88.935699,29557250
2021-05-28,89.242783,89.555038,87.619049,87.806404,87.138397,11620575
2021-06-01,88.868073,89.555038,88.056206,88.368462,87.696182,8050589
2021-06-02,88.555817,88.555817,87.494148,87.993752,87.324318,6394880
2021-06-03,87.369240,89.742386,87.056984,87.993752,87.324318,10114103
2021-06-04,88.430916,88.680717,86.557381,87.181892,86.518631,10259401
2021-06-07,87.431694,87.868851,86.557381,86.869637,86.208748,5980525
2021-06-08,87.244339,87.369240,85.683060,86.807182,86.146767,7065035
2021-06-09,85.995316,86.245117,85.370804,85.745514,85.093170,8929803
2021-06-10,86.245117,86.619827,84.871193,85.121002,84.473419,7980438
2021-06-11,85.245903,86.057770,84.746292,85.495705,84.845276,6783744
2021-06-14,86.057770,86.370026,83.747070,84.121780,83.481796,7273806
